Altitudes (m),Machs
832.1021021021021,1.498
4973.701201201201,1.997
7904.9699699699695,2.497
10136.516516516516,2.999
12027.657657657657,3.5
13729.684684684684,4.001
15223.686186186185,4.499
16566.396396396394,4.999
17776.726726726727,5.497
18892.5,6.0
